"Stunden","FR.stadteinwärts","FR.stadtauswärts","noOfBikes","Wetter","temp","wind","date","year","month","day","weekday","hour"
"1/1/2015 0:00",33,78,111,NA,1,7,2015-01-01 00:00:00,2015,1,1,"Thurs",0
"1/1/2015 1:00",114,116,230,NA,1,7,2015-01-01 01:00:00,2015,1,1,"Thurs",1
"1/1/2015 2:00",103,121,224,NA,0,9,2015-01-01 02:00:00,2015,1,1,"Thurs",2
"1/1/2015 3:00",90,183,273,NA,1,11,2015-01-01 03:00:00,2015,1,1,"Thurs",3
"1/1/2015 4:00",53,147,200,NA,1,9,2015-01-01 04:00:00,2015,1,1,"Thurs",4
"1/1/2015 5:00",31,81,112,NA,1,11,2015-01-01 05:00:00,2015,1,1,"Thurs",5
"1/1/2015 6:00",10,41,51,NA,0,11,2015-01-01 06:00:00,2015,1,1,"Thurs",6
"1/1/2015 7:00",7,21,28,NA,1,13,2015-01-01 07:00:00,2015,1,1,"Thurs",7
"1/1/2015 8:00",5,13,18,NA,2,13,2015-01-01 08:00:00,2015,1,1,"Thurs",8
"1/1/2015 9:00",15,11,26,NA,1,7,2015-01-01 09:00:00,2015,1,1,"Thurs",9
"1/1/2015 10:00",32,14,46,NA,3,11,2015-01-01 10:00:00,2015,1,1,"Thurs",10
"1/1/2015 11:00",28,16,44,NA,4,19,2015-01-01 11:00:00,2015,1,1,"Thurs",11
"1/1/2015 12:00",37,30,67,NA,4,19,2015-01-01 12:00:00,2015,1,1,"Thurs",12
"1/1/2015 13:00",50,49,99,NA,5,20,2015-01-01 13:00:00,2015,1,1,"Thurs",13
"1/1/2015 14:00",100,56,156,NA,5,19,2015-01-01 14:00:00,2015,1,1,"Thurs",14
"1/1/2015 15:00",107,65,172,NA,4,15,2015-01-01 15:00:00,2015,1,1,"Thurs",15
"1/1/2015 16:00",76,75,151,NA,4,13,2015-01-01 16:00:00,2015,1,1,"Thurs",16
"1/1/2015 17:00",53,50,103,NA,4,15,2015-01-01 17:00:00,2015,1,1,"Thurs",17
"1/1/2015 18:00",52,82,134,NA,4,19,2015-01-01 18:00:00,2015,1,1,"Thurs",18
"1/1/2015 19:00",42,58,100,NA,4,22,2015-01-01 19:00:00,2015,1,1,"Thurs",19
"1/1/2015 20:00",20,36,56,NA,5,26,2015-01-01 20:00:00,2015,1,1,"Thurs",20
"1/1/2015 21:00",18,30,48,NA,4,22,2015-01-01 21:00:00,2015,1,1,"Thurs",21
"1/1/2015 22:00",25,26,51,NA,4,20,2015-01-01 22:00:00,2015,1,1,"Thurs",22
"1/1/2015 23:00",15,17,32,NA,5,24,2015-01-01 23:00:00,2015,1,1,"Thurs",23
"1/2/2015 0:00",8,8,16,NA,5,30,2015-01-02 00:00:00,2015,1,2,"Fri",0
"1/2/2015 1:00",2,9,11,NA,5,26,2015-01-02 01:00:00,2015,1,2,"Fri",1
"1/2/2015 2:00",3,3,6,NA,5,26,2015-01-02 02:00:00,2015,1,2,"Fri",2
"1/2/2015 3:00",3,4,7,NA,5,28,2015-01-02 03:00:00,2015,1,2,"Fri",3
"1/2/2015 4:00",1,0,1,NA,5,28,2015-01-02 04:00:00,2015,1,2,"Fri",4
"1/2/2015 5:00",8,3,11,NA,5,26,2015-01-02 05:00:00,2015,1,2,"Fri",5
"1/2/2015 6:00",21,8,29,NA,5,28,2015-01-02 06:00:00,2015,1,2,"Fri",6
"1/2/2015 7:00",68,28,96,NA,6,32,2015-01-02 07:00:00,2015,1,2,"Fri",7
"1/2/2015 8:00",70,43,113,NA,6,32,2015-01-02 08:00:00,2015,1,2,"Fri",8
"1/2/2015 9:00",111,43,154,NA,7,24,2015-01-02 09:00:00,2015,1,2,"Fri",9
"1/2/2015 10:00",136,48,184,NA,8,20,2015-01-02 10:00:00,2015,1,2,"Fri",10
"1/2/2015 11:00",119,76,195,NA,8,28,2015-01-02 11:00:00,2015,1,2,"Fri",11
"1/2/2015 12:00",172,88,260,NA,8,28,2015-01-02 12:00:00,2015,1,2,"Fri",12
"1/2/2015 13:00",194,125,319,NA,8,24,2015-01-02 13:00:00,2015,1,2,"Fri",13
"1/2/2015 14:00",205,137,342,NA,8,33,2015-01-02 14:00:00,2015,1,2,"Fri",14
"1/2/2015 15:00",222,146,368,NA,7,28,2015-01-02 15:00:00,2015,1,2,"Fri",15
"1/2/2015 16:00",174,206,380,NA,7,28,2015-01-02 16:00:00,2015,1,2,"Fri",16
"1/2/2015 17:00",155,163,318,NA,6,28,2015-01-02 17:00:00,2015,1,2,"Fri",17
"1/2/2015 18:00",133,138,271,NA,6,26,2015-01-02 18:00:00,2015,1,2,"Fri",18
"1/2/2015 19:00",135,143,278,NA,6,26,2015-01-02 19:00:00,2015,1,2,"Fri",19
"1/2/2015 20:00",99,125,224,NA,6,26,2015-01-02 20:00:00,2015,1,2,"Fri",20
"1/2/2015 21:00",49,64,113,NA,5,24,2015-01-02 21:00:00,2015,1,2,"Fri",21
"1/2/2015 22:00",57,74,131,NA,5,24,2015-01-02 22:00:00,2015,1,2,"Fri",22
"1/2/2015 23:00",32,72,104,NA,4,20,2015-01-02 23:00:00,2015,1,2,"Fri",23
"1/3/2015 0:00",32,39,71,NA,4,22,2015-01-03 00:00:00,2015,1,3,"Sat",0
"1/3/2015 1:00",25,40,65,NA,4,20,2015-01-03 01:00:00,2015,1,3,"Sat",1
