"Stunden","FR.stadteinwärts","FR.stadtauswärts","Temperatur...C.","Windstärke..km.h.","Wetter","noOfBikes"
"1/1/2016 0:00","49",88,"3","9","Klarer Himmel",137
"1/1/2016 1:00","97",81,"3","7","Klarer Himmel",178
"1/1/2016 2:00","115",128,"3","9","Klarer Himmel",243
"1/1/2016 3:00","101",155,"3","9","teilweise bewölkt",256
"1/1/2016 4:00","68",137,"2","6","wolkig",205
"1/1/2016 5:00","36",89,"3","6","Regen",125
"1/1/2016 6:00","11",38,"3","7","",49
"1/1/2016 7:00","21",25,"2","4","",46
"1/1/2016 8:00","10",12,"0","2","Nebel",22
"1/1/2016 9:00","20",5,"1","4","wolkig",25
"1/1/2016 10:00","24",16,"4","6","Nebel",40
"1/1/2016 11:00","44",31,"5","6","wolkig",75
"1/1/2016 12:00","86",40,"6","4","wolkig",126
"1/1/2016 13:00","65",80,"7","4","wolkig",145
"1/1/2016 14:00","94",79,"7","4","wolkig",173
"1/1/2016 15:00","119",97,"6","4","Nebel",216
"1/1/2016 16:00","100",79,"6","6","Nebel",179
"1/1/2016 17:00","72",66,"5","4","Nebel",138
"1/1/2016 18:00","89",74,"4","4","Nebel",163
"1/1/2016 19:00","53",43,"5","7","",96
"1/1/2016 20:00","30",53,"4","9","wolkig",83
"1/1/2016 21:00","25",30,"4","9","wolkig",55
"1/1/2016 22:00","24",53,"4","9","Klarer Himmel",77
"1/1/2016 23:00","7",26,"4","7","Klarer Himmel",33
"1/2/2016 0:00","18",16,"4","9","teilweise bewölkt",34
"1/2/2016 1:00","5",13,"5","9","wolkig",18
"1/2/2016 2:00","5",3,"4","11","Klarer Himmel",8
"1/2/2016 3:00","2",3,"4","13","Klarer Himmel",5
"1/2/2016 4:00","5",1,"4","13","Klarer Himmel",6
"1/2/2016 5:00","12",9,"4","17","Klarer Himmel",21
"1/2/2016 6:00","20",15,"4","17","Klarer Himmel",35
"1/2/2016 7:00","34",10,"4","13","Klarer Himmel",44
"1/2/2016 8:00","43",36,"4","15","Klarer Himmel",79
"1/2/2016 9:00","97",33,"4","15","wolkig",130
"1/2/2016 10:00","131",64,"4","15","Regen",195
"1/2/2016 11:00","133",68,"3","15","wolkig",201
"1/2/2016 12:00","107",107,"3","15","Regen",214
"1/2/2016 13:00","120",95,"3","15","Regen",215
"1/2/2016 14:00","151",101,"3","13","wolkig",252
"1/2/2016 15:00","134",114,"3","13","Regen",248
"1/2/2016 16:00","119",116,"3","15","Regen",235
"1/2/2016 17:00","91",125,"3","13","Regen",216
"1/2/2016 18:00","83",94,"2","17","Regen",177
"1/2/2016 19:00","77",98,"2","13","Regen",175
"1/2/2016 20:00","79",69,"2","13","wolkig",148
"1/2/2016 21:00","45",50,"2","15","wolkig",95
