"Stunden","noOfBikes","FR.stadteinwärts","FR.stadtauswärts","temp","wind","location","weather","timestamp","date","year","month","day","weekday","hour","weekend","wind_log"
"1/1/2015 0:00",111,33,78,1,7,"neutor",NA,2015-01-01 00:00:00,2015-01-01,2015,1,1,"Thurs",0,FALSE,1.94591014905531
"1/1/2015 1:00",230,114,116,1,7,"neutor",NA,2015-01-01 01:00:00,2015-01-01,2015,1,1,"Thurs",1,FALSE,1.94591014905531
"1/1/2015 2:00",224,103,121,0,9,"neutor",NA,2015-01-01 02:00:00,2015-01-01,2015,1,1,"Thurs",2,FALSE,2.19722457733622
"1/1/2015 3:00",273,90,183,1,11,"neutor",NA,2015-01-01 03:00:00,2015-01-01,2015,1,1,"Thurs",3,FALSE,2.39789527279837
"1/1/2015 4:00",200,53,147,1,9,"neutor",NA,2015-01-01 04:00:00,2015-01-01,2015,1,1,"Thurs",4,FALSE,2.19722457733622
"1/1/2015 5:00",112,31,81,1,11,"neutor",NA,2015-01-01 05:00:00,2015-01-01,2015,1,1,"Thurs",5,FALSE,2.39789527279837
"1/1/2015 6:00",51,10,41,0,11,"neutor",NA,2015-01-01 06:00:00,2015-01-01,2015,1,1,"Thurs",6,FALSE,2.39789527279837
"1/1/2015 7:00",28,7,21,1,13,"neutor",NA,2015-01-01 07:00:00,2015-01-01,2015,1,1,"Thurs",7,FALSE,2.56494935746154
"1/1/2015 8:00",18,5,13,2,13,"neutor",NA,2015-01-01 08:00:00,2015-01-01,2015,1,1,"Thurs",8,FALSE,2.56494935746154
"1/1/2015 9:00",26,15,11,1,7,"neutor",NA,2015-01-01 09:00:00,2015-01-01,2015,1,1,"Thurs",9,FALSE,1.94591014905531
"1/1/2015 10:00",46,32,14,3,11,"neutor",NA,2015-01-01 10:00:00,2015-01-01,2015,1,1,"Thurs",10,FALSE,2.39789527279837
"1/1/2015 11:00",44,28,16,4,19,"neutor",NA,2015-01-01 11:00:00,2015-01-01,2015,1,1,"Thurs",11,FALSE,2.94443897916644
"1/1/2015 12:00",67,37,30,4,19,"neutor",NA,2015-01-01 12:00:00,2015-01-01,2015,1,1,"Thurs",12,FALSE,2.94443897916644
"1/1/2015 13:00",99,50,49,5,20,"neutor",NA,2015-01-01 13:00:00,2015-01-01,2015,1,1,"Thurs",13,FALSE,2.99573227355399
"1/1/2015 14:00",156,100,56,5,19,"neutor",NA,2015-01-01 14:00:00,2015-01-01,2015,1,1,"Thurs",14,FALSE,2.94443897916644
"1/1/2015 15:00",172,107,65,4,15,"neutor",NA,2015-01-01 15:00:00,2015-01-01,2015,1,1,"Thurs",15,FALSE,2.70805020110221
"1/1/2015 16:00",151,76,75,4,13,"neutor",NA,2015-01-01 16:00:00,2015-01-01,2015,1,1,"Thurs",16,FALSE,2.56494935746154
"1/1/2015 17:00",103,53,50,4,15,"neutor",NA,2015-01-01 17:00:00,2015-01-01,2015,1,1,"Thurs",17,FALSE,2.70805020110221
"1/1/2015 18:00",134,52,82,4,19,"neutor",NA,2015-01-01 18:00:00,2015-01-01,2015,1,1,"Thurs",18,FALSE,2.94443897916644
