"Stunden","FR.stadteinwärts","FR.stadtauswärts","noOfBikes","temp","wind","weather","date","year","month","day","weekday","hour","wind_log"
"1/1/2015 0:00",33,78,111,1,7,NA,2015-01-01 00:00:00,2015,1,1,"Thurs",0,1.94591014905531
"1/1/2015 1:00",114,116,230,1,7,NA,2015-01-01 01:00:00,2015,1,1,"Thurs",1,1.94591014905531
"1/1/2015 2:00",103,121,224,0,9,NA,2015-01-01 02:00:00,2015,1,1,"Thurs",2,2.19722457733622
"1/1/2015 3:00",90,183,273,1,11,NA,2015-01-01 03:00:00,2015,1,1,"Thurs",3,2.39789527279837
"1/1/2015 4:00",53,147,200,1,9,NA,2015-01-01 04:00:00,2015,1,1,"Thurs",4,2.19722457733622
"1/1/2015 5:00",31,81,112,1,11,NA,2015-01-01 05:00:00,2015,1,1,"Thurs",5,2.39789527279837
"1/1/2015 6:00",10,41,51,0,11,NA,2015-01-01 06:00:00,2015,1,1,"Thurs",6,2.39789527279837
"1/1/2015 7:00",7,21,28,1,13,NA,2015-01-01 07:00:00,2015,1,1,"Thurs",7,2.56494935746154
"1/1/2015 8:00",5,13,18,2,13,NA,2015-01-01 08:00:00,2015,1,1,"Thurs",8,2.56494935746154
"1/1/2015 9:00",15,11,26,1,7,NA,2015-01-01 09:00:00,2015,1,1,"Thurs",9,1.94591014905531
"1/1/2015 10:00",32,14,46,3,11,NA,2015-01-01 10:00:00,2015,1,1,"Thurs",10,2.39789527279837
"1/1/2015 11:00",28,16,44,4,19,NA,2015-01-01 11:00:00,2015,1,1,"Thurs",11,2.94443897916644
"1/1/2015 12:00",37,30,67,4,19,NA,2015-01-01 12:00:00,2015,1,1,"Thurs",12,2.94443897916644
"1/1/2015 13:00",50,49,99,5,20,NA,2015-01-01 13:00:00,2015,1,1,"Thurs",13,2.99573227355399
"1/1/2015 14:00",100,56,156,5,19,NA,2015-01-01 14:00:00,2015,1,1,"Thurs",14,2.94443897916644
"1/1/2015 15:00",107,65,172,4,15,NA,2015-01-01 15:00:00,2015,1,1,"Thurs",15,2.70805020110221
"1/1/2015 16:00",76,75,151,4,13,NA,2015-01-01 16:00:00,2015,1,1,"Thurs",16,2.56494935746154
"1/1/2015 17:00",53,50,103,4,15,NA,2015-01-01 17:00:00,2015,1,1,"Thurs",17,2.70805020110221
"1/1/2015 18:00",52,82,134,4,19,NA,2015-01-01 18:00:00,2015,1,1,"Thurs",18,2.94443897916644
"1/1/2015 19:00",42,58,100,4,22,NA,2015-01-01 19:00:00,2015,1,1,"Thurs",19,3.09104245335832
"1/1/2015 20:00",20,36,56,5,26,NA,2015-01-01 20:00:00,2015,1,1,"Thurs",20,3.25809653802148
"1/1/2015 21:00",18,30,48,4,22,NA,2015-01-01 21:00:00,2015,1,1,"Thurs",21,3.09104245335832
"1/1/2015 22:00",25,26,51,4,20,NA,2015-01-01 22:00:00,2015,1,1,"Thurs",22,2.99573227355399
"1/1/2015 23:00",15,17,32,5,24,NA,2015-01-01 23:00:00,2015,1,1,"Thurs",23,3.17805383034795
"1/2/2015 0:00",8,8,16,5,30,NA,2015-01-02 00:00:00,2015,1,2,"Fri",0,3.40119738166216
"1/2/2015 1:00",2,9,11,5,26,NA,2015-01-02 01:00:00,2015,1,2,"Fri",1,3.25809653802148
"1/2/2015 2:00",3,3,6,5,26,NA,2015-01-02 02:00:00,2015,1,2,"Fri",2,3.25809653802148
"1/2/2015 3:00",3,4,7,5,28,NA,2015-01-02 03:00:00,2015,1,2,"Fri",3,3.3322045101752
"1/2/2015 4:00",1,0,1,5,28,NA,2015-01-02 04:00:00,2015,1,2,"Fri",4,3.3322045101752
"1/2/2015 5:00",8,3,11,5,26,NA,2015-01-02 05:00:00,2015,1,2,"Fri",5,3.25809653802148
"1/2/2015 6:00",21,8,29,5,28,NA,2015-01-02 06:00:00,2015,1,2,"Fri",6,3.3322045101752
"1/2/2015 7:00",68,28,96,6,32,NA,2015-01-02 07:00:00,2015,1,2,"Fri",7,3.46573590279973
"1/2/2015 8:00",70,43,113,6,32,NA,2015-01-02 08:00:00,2015,1,2,"Fri",8,3.46573590279973
"1/2/2015 9:00",111,43,154,7,24,NA,2015-01-02 09:00:00,2015,1,2,"Fri",9,3.17805383034795
"1/2/2015 10:00",136,48,184,8,20,NA,2015-01-02 10:00:00,2015,1,2,"Fri",10,2.99573227355399
"1/2/2015 11:00",119,76,195,8,28,NA,2015-01-02 11:00:00,2015,1,2,"Fri",11,3.3322045101752
"1/2/2015 12:00",172,88,260,8,28,NA,2015-01-02 12:00:00,2015,1,2,"Fri",12,3.3322045101752
"1/2/2015 13:00",194,125,319,8,24,NA,2015-01-02 13:00:00,2015,1,2,"Fri",13,3.17805383034795
"1/2/2015 14:00",205,137,342,8,33,NA,2015-01-02 14:00:00,2015,1,2,"Fri",14,3.49650756146648
"1/2/2015 15:00",222,146,368,7,28,NA,2015-01-02 15:00:00,2015,1,2,"Fri",15,3.3322045101752
"1/2/2015 16:00",174,206,380,7,28,NA,2015-01-02 16:00:00,2015,1,2,"Fri",16,3.3322045101752
"1/2/2015 17:00",155,163,318,6,28,NA,2015-01-02 17:00:00,2015,1,2,"Fri",17,3.3322045101752
"1/2/2015 18:00",133,138,271,6,26,NA,2015-01-02 18:00:00,2015,1,2,"Fri",18,3.25809653802148
"1/2/2015 19:00",135,143,278,6,26,NA,2015-01-02 19:00:00,2015,1,2,"Fri",19,3.25809653802148
"1/2/2015 20:00",99,125,224,6,26,NA,2015-01-02 20:00:00,2015,1,2,"Fri",20,3.25809653802148
"1/2/2015 21:00",49,64,113,5,24,NA,2015-01-02 21:00:00,2015,1,2,"Fri",21,3.17805383034795
"1/2/2015 22:00",57,74,131,5,24,NA,2015-01-02 22:00:00,2015,1,2,"Fri",22,3.17805383034795
"1/2/2015 23:00",32,72,104,4,20,NA,2015-01-02 23:00:00,2015,1,2,"Fri",23,2.99573227355399
"1/3/2015 0:00",32,39,71,4,22,NA,2015-01-03 00:00:00,2015,1,3,"Sat",0,3.09104245335832
"1/3/2015 1:00",25,40,65,4,20,NA,2015-01-03 01:00:00,2015,1,3,"Sat",1,2.99573227355399
"1/3/2015 2:00",13,19,32,4,15,NA,2015-01-03 02:00:00,2015,1,3,"Sat",2,2.70805020110221
"1/3/2015 3:00",3,24,27,4,17,NA,2015-01-03 03:00:00,2015,1,3,"Sat",3,2.83321334405622
"1/3/2015 4:00",7,11,18,4,15,NA,2015-01-03 04:00:00,2015,1,3,"Sat",4,2.70805020110221
"1/3/2015 5:00",12,8,20,4,17,NA,2015-01-03 05:00:00,2015,1,3,"Sat",5,2.83321334405622
"1/3/2015 6:00",16,10,26,4,17,NA,2015-01-03 06:00:00,2015,1,3,"Sat",6,2.83321334405622
