"Stunden","FR.stadteinwärts","FR.stadtauswärts","Temperatur...C.","Windstärke..km.h.","noOfBikes","location","Wetter"
"1/1/2015 0:00",33,78,1,7,111,"neutor",NA
"1/1/2015 1:00",114,116,1,7,230,"neutor",NA
"1/1/2015 2:00",103,121,0,9,224,"neutor",NA
"1/1/2015 3:00",90,183,1,11,273,"neutor",NA
"1/1/2015 4:00",53,147,1,9,200,"neutor",NA
"1/1/2015 5:00",31,81,1,11,112,"neutor",NA
"1/1/2015 6:00",10,41,0,11,51,"neutor",NA
"1/1/2015 7:00",7,21,1,13,28,"neutor",NA
"1/1/2015 8:00",5,13,2,13,18,"neutor",NA
"1/1/2015 9:00",15,11,1,7,26,"neutor",NA
"1/1/2015 10:00",32,14,3,11,46,"neutor",NA
"1/1/2015 11:00",28,16,4,19,44,"neutor",NA
"1/1/2015 12:00",37,30,4,19,67,"neutor",NA
"1/1/2015 13:00",50,49,5,20,99,"neutor",NA
"1/1/2015 14:00",100,56,5,19,156,"neutor",NA
"1/1/2015 15:00",107,65,4,15,172,"neutor",NA
"1/1/2015 16:00",76,75,4,13,151,"neutor",NA
"1/1/2015 17:00",53,50,4,15,103,"neutor",NA
"1/1/2015 18:00",52,82,4,19,134,"neutor",NA
"1/1/2015 19:00",42,58,4,22,100,"neutor",NA
"1/1/2015 20:00",20,36,5,26,56,"neutor",NA
"1/1/2015 21:00",18,30,4,22,48,"neutor",NA
"1/1/2015 22:00",25,26,4,20,51,"neutor",NA
"1/1/2015 23:00",15,17,5,24,32,"neutor",NA
"1/2/2015 0:00",8,8,5,30,16,"neutor",NA
"1/2/2015 1:00",2,9,5,26,11,"neutor",NA
"1/2/2015 2:00",3,3,5,26,6,"neutor",NA
"1/2/2015 3:00",3,4,5,28,7,"neutor",NA
"1/2/2015 4:00",1,0,5,28,1,"neutor",NA
"1/2/2015 5:00",8,3,5,26,11,"neutor",NA
"1/2/2015 6:00",21,8,5,28,29,"neutor",NA
"1/2/2015 7:00",68,28,6,32,96,"neutor",NA
"1/2/2015 8:00",70,43,6,32,113,"neutor",NA
"1/2/2015 9:00",111,43,7,24,154,"neutor",NA
"1/2/2015 10:00",136,48,8,20,184,"neutor",NA
"1/2/2015 11:00",119,76,8,28,195,"neutor",NA
"1/2/2015 12:00",172,88,8,28,260,"neutor",NA
"1/2/2015 13:00",194,125,8,24,319,"neutor",NA
"1/2/2015 14:00",205,137,8,33,342,"neutor",NA
"1/2/2015 15:00",222,146,7,28,368,"neutor",NA
"1/2/2015 16:00",174,206,7,28,380,"neutor",NA
"1/2/2015 17:00",155,163,6,28,318,"neutor",NA
"1/2/2015 18:00",133,138,6,26,271,"neutor",NA
"1/2/2015 19:00",135,143,6,26,278,"neutor",NA
"1/2/2015 20:00",99,125,6,26,224,"neutor",NA
"1/2/2015 21:00",49,64,5,24,113,"neutor",NA
"1/2/2015 22:00",57,74,5,24,131,"neutor",NA
"1/2/2015 23:00",32,72,4,20,104,"neutor",NA
"1/3/2015 0:00",32,39,4,22,71,"neutor",NA
"1/3/2015 1:00",25,40,4,20,65,"neutor",NA
"1/3/2015 2:00",13,19,4,15,32,"neutor",NA
"1/3/2015 3:00",3,24,4,17,27,"neutor",NA
"1/3/2015 4:00",7,11,4,15,18,"neutor",NA
"1/3/2015 5:00",12,8,4,17,20,"neutor",NA
"1/3/2015 6:00",16,10,4,17,26,"neutor",NA
"1/3/2015 7:00",31,10,4,17,41,"neutor",NA
"1/3/2015 8:00",49,32,4,20,81,"neutor",NA
"1/3/2015 9:00",142,43,4,24,185,"neutor",NA
"1/3/2015 10:00",180,65,5,24,245,"neutor",NA
"1/3/2015 11:00",158,86,4,30,244,"neutor",NA
"1/3/2015 12:00",151,110,3,24,261,"neutor",NA
"1/3/2015 13:00",146,133,3,19,279,"neutor",NA
"1/3/2015 14:00",120,128,3,17,248,"neutor",NA
"1/3/2015 15:00",151,122,3,13,273,"neutor",NA
"1/3/2015 16:00",124,139,3,15,263,"neutor",NA
