"Stunden","FR.stadteinwärts","FR.stadtauswärts","Temperatur...C.","Windstärke..km.h.","Wetter","noOfBikes","location"
"1/1/2016 0:00",30,59,3,9,"Klarer Himmel",89,"wolbecker"
"1/1/2016 1:00",73,91,3,7,"Klarer Himmel",164,"wolbecker"
"1/1/2016 2:00",101,87,3,9,"Klarer Himmel",188,"wolbecker"
"1/1/2016 3:00",103,83,3,9,"teilweise bewölkt",186,"wolbecker"
"1/1/2016 4:00",82,59,2,6,"wolkig",141,"wolbecker"
"1/1/2016 5:00",37,29,3,6,"Regen",66,"wolbecker"
"1/1/2016 6:00",32,22,3,7,NA,54,"wolbecker"
"1/1/2016 7:00",25,22,2,4,NA,47,"wolbecker"
"1/1/2016 8:00",17,10,0,2,"Nebel",27,"wolbecker"
"1/1/2016 9:00",18,12,1,4,"wolkig",30,"wolbecker"
"1/1/2016 10:00",26,37,4,6,"Nebel",63,"wolbecker"
"1/1/2016 11:00",28,30,5,6,"wolkig",58,"wolbecker"
"1/1/2016 12:00",62,83,6,4,"wolkig",145,"wolbecker"
"1/1/2016 13:00",97,56,7,4,"wolkig",153,"wolbecker"
"1/1/2016 14:00",106,52,7,4,"wolkig",158,"wolbecker"
"1/1/2016 15:00",98,76,6,4,"Nebel",174,"wolbecker"
"1/1/2016 16:00",74,82,6,6,"Nebel",156,"wolbecker"
"1/1/2016 17:00",69,72,5,4,"Nebel",141,"wolbecker"
"1/1/2016 18:00",58,60,4,4,"Nebel",118,"wolbecker"
"1/1/2016 19:00",52,52,5,7,NA,104,"wolbecker"
"1/1/2016 20:00",37,28,4,9,"wolkig",65,"wolbecker"
"1/1/2016 21:00",25,22,4,9,"wolkig",47,"wolbecker"
"1/1/2016 22:00",38,32,4,9,"Klarer Himmel",70,"wolbecker"
"1/1/2016 23:00",12,15,4,7,"Klarer Himmel",27,"wolbecker"
"1/2/2016 0:00",14,13,4,9,"teilweise bewölkt",27,"wolbecker"
"1/2/2016 1:00",15,8,5,9,"wolkig",23,"wolbecker"
"1/2/2016 2:00",6,4,4,11,"Klarer Himmel",10,"wolbecker"
"1/2/2016 3:00",4,1,4,13,"Klarer Himmel",5,"wolbecker"
"1/2/2016 4:00",1,0,4,13,"Klarer Himmel",1,"wolbecker"
"1/2/2016 5:00",13,9,4,17,"Klarer Himmel",22,"wolbecker"
"1/2/2016 6:00",21,13,4,17,"Klarer Himmel",34,"wolbecker"
"1/2/2016 7:00",31,26,4,13,"Klarer Himmel",57,"wolbecker"
"1/2/2016 8:00",49,31,4,15,"Klarer Himmel",80,"wolbecker"
"1/2/2016 9:00",179,65,4,15,"wolkig",244,"wolbecker"
"1/2/2016 10:00",200,108,4,15,"Regen",308,"wolbecker"
