Steuergruppe,Technik,ID,StrA,StrB,StrC,StrD,NbW,NbX,NbY,NbZ,Lat,Long
-,-,01010,Steinfurter Straße,B54,,,01020,,,,51.987988,7.580732
-,-,01020,Steinfurter Straße,Wikinghege,,,01010,01225,,,51.984179,7.588471
3,Siemens,01025,Steinfurter Straße,Austermannstraße,,,01020,01030,,,51.978525,7.597848
3,Swarco,01030,Steinfurter Straße,Johann Krane Weg,,,01025,01040,,,51.976496,7.601292
3,Swarco,01040,Steinfurter Straße,-,,,01030,01050,,,51.975575,7.602957
3,Swarco,01050,Steinfurter Straße,York-Ring,Orleans-Ring,,01061,03080,01040,01051,51.973454,7.606579
3,Swarco,01051,York-Ring,Gasselstiege,Koburger Weg,,01050,02020,,,51.974256,7.610026
3,Swarco,01060,Steinfurter Straße,Kapuzinerstraße,,,01070,01061,,,51.970725,7.610388
3,Swarco,01061,Steinfurter Straße,Catharina-Müller-Straße,,,01050,01060,,,51.971428,7.609448
3,Swarco,01070,Steinfurter Straße,Grevener Straße,,,01081,01060,02010,01080,51.969341,7.612381
3,Swarco,01080,Steinfurter Straße,Wilhelmstraße,Lazarettstraße,,01090,01081,01070,03132,51.967301,7.615026
3,Swarco,01081,Grevener Straße,Wilhelmstraße,,,03080,01070,01080,,51.967335,7.612275
3,Swarco,01090,Schlossplatz,Münzstraße,,,01100,01080,06020,,51.966332,7.617064
3,Swarco,01100,Schlossplatz,Überwasserstraße,,,01110,01090,,,51.965257,7.617598
3,Swarco,01110,Schlossplatz,Frauenstraße,,,01120,01100,,,51.963462,7.617913
3,Swarco,01120,Schlossplatz,Gerichtsstraße,Universitätsstraße,Am Stadtgraben,01130,01123,01110,01121,51.961875,7.617535
3,Siemens,01121,Universitätsstraße,Krummer Timpen,,,01120,,,,51.961645,7.619268
3,Swarco,01123,Gerichtsstraße,Badestraße,,,03052,01120,,,51.961970,7.614767
4,Siemens,01130,Am Stadtgraben,Georgskommende,,,01140,01120,,,51.959620,7.618456
4,Siemens,01140,Am Stadtgraben,Adenauerallee,Aegidiistraße,Weseler Straße,01150,01130,,,51.957311,7.619682
4,Siemens,01150,Weseler Straße,Bismarckallee,,,01140,01160,,,51.956164,7.619446
4,Siemens,01160,Weseler Straße,Moltkestraße,,,01170,03022,01150,01161,51.954972,7.619875
4,Siemens,01161,Moltkestraße,Hermannstraße,Marks-Haindorf-Stiege,,01160,,,,51.955356,7.621938
4,Siemens,01170,Weseler Straße,Geiststraße,Lühnstiege,,01190,01160,,,51.952615,7.619152
4,Siemens,01190,Weseler Straße,Kolde-Ring,,,01195,01196,01170,01191,51.949828,7.616891
4,Swarco,01191,Geiststraße,Donders-Ring,Hochstraße,,01192,01190,01170,,51.949642,7.621687
4,Swarco,01192,Geiststraße,Kurze Straße,Turmstraße,,07080,01191,07050,,51.947820,7.622093
4,Siemens,01195,Weseler Straße,Sperlichstraßre,,,01200,01190,,,51.946753,7.614221
4,Stuehrenberg,01196,Kolde-Ring,Von-Stauffenberg-Straße,,,03023,01190,,,51.949740,7.613763
9,Siemens,01200,Weseler Straße,Sentmaringer Weg,,,01210,01195,,,51.943934,7.612002
9,Siemens,01210,Weseler Straße,Bonhoefferstraße,Inselbogen,,01220,01211,01200,,51.940769,7.609347
14,Siemens,01211,Inselbogen,Grüner Grund,,,01210,07111,,,51.939778,7.613120
9,Siemens,01220,Weseler Straße,Buckstraße,,,01210,01230,,,51.937959,7.605832
9,Siemens,01230,Weseler Straße,-,,,01220,01240,,,51.936395,7.603573
9,Siemens,01240,Weseler Straße,Weseler Straße,,,01230,01250,,,51.935192,7.602000
9,Siemens,01250,Weseler Straße,Boeselagerstraße,,,01252,01251,01240,,51.934764,7.600286
-,Swarco,01251,Mecklenbecker Straße,Boeselagerstraße,,,01272,01250,,,51.939548,7.591980
9,Siemens,01252,Weseler Straße,Kerkheideweg,,,01260,01250,,,51.931725,7.594880
9,Stuehrenberg,01260,Weseler Straße,Mersmannstiege,,,01261,01262,01252,,51.930275,7.592401
9,Stuehrenberg,01261,Weseler Straße,Fritz-Stricker-Straße,,,01270,01260,,,51.928793,7.589582
9,Stuehrenberg,01262,Mersmannstiege,Daimlerweg,,,01260,,,,51.929723,7.594581
9,Stuehrenberg,01270,Weseler Straße,Dingbängerweg,,,01273,01271,01261,,51.926716,7.583667
9,Siemens,01271,Dingbängerweg,Am Hof Hesselmann,Schlautstiege,,01272,01270,,,51.931105,7.580378
9,Siemens,01272,Mecklenbecker Straße,Dingbängerweg,,,24030,01251,01271,,51.934374,7.578893
9,Stuehrenberg,01273,Weseler Straße,Meyerbeerstraße,,,01274,01270,,,51.925305,7.579253
9,Siemens,01274,Weseler Straße,,,,01273,01280,,,51.925043,7.576758
9,Stuehrenberg,01280,Weseler Straße,Heroldstraße,Meckmannweg,,01290,01274,,,51.924940,7.572885
9,Stuehrenberg,01290,Weseler Straße,Untietheide,Zur Landwehr,,01300,01280,,,51.925265,7.563067
9,Stuehrenberg,01300,Weseler Straße,An der Hansalinie,,,01290,23010,,,51.925251,7.560317
3,Swarco,02010,Grevener Straße,Melcherstraße,Harkortstraße,,01070,02020,,,51.971287,7.612593
3,Swarco,02020,Grevener Straße,York-Ring,Friesenring,,02010,01051,02030,02021,51.974323,7.612349
3,Swarco,02021,Friesenring,Kinderhauser Straße,,,02020,03120,,,51.974332,7.613557
10,Swarco,02030,Grevener Straße,Dorpatweg,,,02020,02040,,,51.976348,7.612261
10,Swarco,02040,Grevener Straße,Meßkamp,,,02030,02041,,,51.980174,7.611972
10,Swarco,02041,Grevener Straße,-,,,02040,02050,,,51.982518,7.611778
10,Swarco,02050,Grevener Straße,Nienkamp,Dreizehnerstraße,,02041,02070,,,51.983708,7.611632
10,Swarco,02070,Grevener Straße,Westhoffstraße,,,02050,12100,02080,,51.989225,7.611277
10,Swarco,02080,Grevener Straße,Am Burloh,Bröderichweg,,02070,12090,02090,02082,51.993446,7.612331
10,Swarco,02081,Kanalstraße,Bröderichweg,,,05015,02082,,,51.993495,7.621705
10,Swarco,02082,Bröderichweg,Regina-Protmann-Straße,,,02080,02081,,,51.993084,7.617424
10,Swarco,02090,Grevener Straße,Janningsweg,,,02080,02100,,,51.995729,7.612859
10,Swarco,02100,Grevener Straße,Wangeroogeweg,Kristiansandstraße,,02090,12060,,,51.997768,7.613470
6,Swarco,03020,Kolde-Ring,Kardinal-von-Galen-Ring,Mecklenbecker Straße,Scharnhorststraße,03023,03021,03022,01251,51.949451,7.606336
6,Avt-Stoye,03021,Kardinal-von-Galen-Ring,-,,,03020,03030,,,51.952935,7.603236
-,Siemens,03022,Scharnhorststraße,Offenbergstraße,,,03020,01160,,,51.952055,7.611720
6,Avt-Stoye,03023,Kolde-Ring,Sperlichstraße,,,03020,01196,,,51.949154,7.610137
6,Avt-Stoye,03030,Kardinal-von-Galen-Ring,Annette-Allee,Sentruper Straße,,03021,03031,03040,,51.955303,7.602766
6,Swarco,03031,Sentruper Straße,Scheffer-Boichorst-Straße,,,03030,,,,51.954147,7.597998
6,Avt-Stoye,03040,Kardinal-von-Galen-Ring,Vesaliusweg,Niels-Stensen-Straße,,03030,03050,,,51.956761,7.602816
6,Avt-Stoye,03050,Kardinal-von-Galen-Ring,Hüfferstraße,Rishon-Le-Zion-Ring,Waldeyerstraße,03040,03060,03052,,51.959581,7.602583
3,Siemens,03052,Hüfferstraße,Himmelreichallee,,,03050,01123,,,51.961450,7.609580
6,Avt-Stoye,03060,Rishon-Le-Zion-Ring,Sertürnerstraße,,,03050,03065,,,51.961194,7.602565
6,Siemens,03065,Rishon-Le-Zion-Ring,Domagkstraße,,,03060,03070,,,51.963579,7.601816
6,Avt-Stoye,03070,Rishon-Le-Zion-Ring,Einsteinstraße,Orleans-Ring,Coesfelder Kreuz,03065,16130,03080,01081,51.965147,7.601624
